import time: self [us] | cumulative | imported package
import time:       153 |        153 |       anthropic.types.completion_create_params
import time:        63 |         63 |       anthropic.types.content_block_stop_event
import time:        59 |         59 |       anthropic.types.content_block_delta_event
import time:        70 |         70 |       anthropic.types.content_block_start_event
import time:        90 |         90 |         anthropic.types.message_count_tokens_tool_param
import time:       139 |        229 |       anthropic.types.message_count_tokens_params
import time:       575 |     132193 |     anthropic.types
import time:       732 |        732 |       anthropic._exceptions
import time:       237 |        237 |       anthropic._qs
import time:       155 |        155 |       anthropic._version
import time:       332 |        332 |       anthropic._streaming
import time:       196 |        196 |         anthropic._request
import time:       210 |        406 |       anthropic._middleware
import time:       907 |        907 |         platform
import time:       645 |        645 |             argparse
import time:       323 |        323 |             shlex
import time:       576 |       1544 |           distro.distro
import time:       246 |       1789 |         distro
